University,Focus Region,Domain,Count
Academic College of Tel Aviv-Yafo,Global,General Fairness & Bias Mitigation,1
Althire AI,Global,Graph-based Fairness & Bias Mitigation,1
Bennett University,Global,Health & Clinical AI,1
Brigham and Women's Hospital,USA,Health & Clinical AI,1
Cape Breton University,Global,Health & Clinical AI,1
Cardiovascular Institute of the South,Global,Health & Clinical AI,1
Carnegie Mellon University,Global,Health & Clinical AI,1
Carnegie Mellon University,Global,LLM and NLP,1
Carnegie Mellon University,USA,General Fairness & Bias Mitigation,1
Columbia University,Global,Graph-based Fairness & Bias Mitigation,1
Cornell University,Global,General Fairness & Bias Mitigation,1
Deakin University,Global,Graph-based Fairness & Bias Mitigation,1
Florida International University,Global,LLM and NLP,1
Fraunhofer Institute for Digital Medicine,Global,Health & Clinical AI,1
Harvard University,USA,Health & Clinical AI,1
Haverford College,USA,General Fairness & Bias Mitigation,1
Heinrich-Heine-Universität Düsseldorf,Global,General Fairness & Bias Mitigation,1
IBM Research,Global,General Fairness & Bias Mitigation,1
IBM Research India,Global,General Fairness & Bias Mitigation,1
Iowa State University,Global,General Fairness & Bias Mitigation,2
Jilin University,Global,LLM and NLP,1
KAIST,Global,General Fairness & Bias Mitigation,1
L3S Research Center & Leibniz University Hannover,European,General Fairness & Bias Mitigation,1
Laboratoire Hubert Curien,Global,Graph-based Fairness & Bias Mitigation,1
Leibniz University Hannover,Global,Graph-based Fairness & Bias Mitigation,1
MIT,Global,General Fairness & Bias Mitigation,1
MIT,Global,Health & Clinical AI,1
Macquarie University,Global,Health & Clinical AI,1
Max Planck Institute for Software Systems,Global,General Fairness & Bias Mitigation,1
Michigan State University,Global,General Fairness & Bias Mitigation,1
Microsoft,Global,Recommender Systems,1
Microsoft Research,USA,General Fairness & Bias Mitigation,1
National Taiwan University,Global,LLM and NLP,1
North Carolina State University,Global,General Fairness & Bias Mitigation,2
Northeastern University,Global,LLM and NLP,1
Northwestern University,USA,Health & Clinical AI,1
Renmin University of China,Global,LLM and NLP,1
Rutgers University,Global,General Fairness & Bias Mitigation,1
Rutgers University,Global,Recommender Systems,3
Rutgers University,USA,Recommender Systems,1
Saarland University,Global,Graph-based Fairness & Bias Mitigation,1
Simula Research Laboratory,Global,General Fairness & Bias Mitigation,1
Stanford University,Global,General Fairness & Bias Mitigation,1
Stanford University,Global,LLM and NLP,2
Tel Aviv University,USA,General Fairness & Bias Mitigation,1
Texas A&M University,Global,LLM and NLP,1
The Alan Turing Institute,Global,General Fairness & Bias Mitigation,1
The Hebrew University of Jerusalem,Global,LLM and NLP,1
The Hong Kong Polytechnic University,Global,Recommender Systems,1
The Ohio State University,Global,General Fairness & Bias Mitigation,1
The Open University,Global,Graph-based Fairness & Bias Mitigation,1
UC Riverside,Global,LLM and NLP,1
UCLA,Global,LLM and NLP,1
United States Food and Drug Administration,Global,Health & Clinical AI,1
Universitat Ramon Llull,Global,LLM and NLP,1
University College Dublin,Global,General Fairness & Bias Mitigation,1
University College London,Global,General Fairness & Bias Mitigation,5
University College London,UK,General Fairness & Bias Mitigation,1
University Hospital of Zurich,USA,Health & Clinical AI,1
University of Cagliari,Global,Recommender Systems,1
University of Central Florida,USA,Health & Clinical AI,1
University of Copenhagen,Global,LLM and NLP,1
University of Hong Kong,Global,LLM and NLP,1
University of Illinois Chicago,Global,General Fairness & Bias Mitigation,1
University of Maryland Baltimor,Global,Graph-based Fairness & Bias Mitigation,1
University of Michigan,USA,Health & Clinical AI,1
University of Minnesota,USA,General Fairness & Bias Mitigation,1
University of Notre Dame,Global,LLM and NLP,1
University of Oxford,Global,LLM and NLP,1
University of Padua,Global,General Fairness & Bias Mitigation,1
University of Pennsylvania,Global,Health & Clinical AI,1
University of Pennsylvania,USA,General Fairness & Bias Mitigation,1
University of Pisa,Global,General Fairness & Bias Mitigation,1
University of Southern California,Global,General Fairness & Bias Mitigation,1
University of Southern California,USA,General Fairness & Bias Mitigation,1
University of Victoria,Global,LLM and NLP,1
University of Virginia,Global,LLM and NLP,1
University of Washington,Global,General Fairness & Bias Mitigation,1
University of Washington Bothell,Global,LLM and NLP,1
University of Wollongong,Australia,General Fairness & Bias Mitigation,1
University of Zurich,Global,General Fairness & Bias Mitigation,1
Université de Toulouse,Global/Spain,General Fairness & Bias Mitigation,1
Université du Québec à Montréal,Global,General Fairness & Bias Mitigation,1
Westlake University,Global,LLM and NLP,1
Yonsei University,Global,General Fairness & Bias Mitigation,1
Yıldız Technical University,Global,General Fairness & Bias Mitigation,1
Zhongguancun Laboratory,Global,LLM and NLP,1
École Polytechnique,European,General Fairness & Bias Mitigation,1
