Raw_Institution_Precleaned,Count
Iowa State University,2
Max Planck Institute for Software Systems,1
The Hebrew University of Jerusalem,1
Saarland University,1
Althire AI,1
Deakin University,1
Leibniz University Hannover,1
Northeastern University,1
Florida International University,1
University of Copenhagen,1
Texas A&M University,1
Microsoft,1
Simula Research Laboratory,1
United States Food and Drug Administration,1
Université du Québec à Montréal,1
Academic College of Tel Aviv-Yafo,1
Yonsei University,1
The Ohio State University,1
Tel Aviv University,1
Universitat Ramon Llull,1
University of Maryland Baltimor,1
